Storenumber	Fiscal Transaction Date	Fiscal Year	Fiscal Period	Fiscal Week	Orders
6014	5/28/16	2016	6	22	175
6014	5/29/16	2016	6	22	112
6014	5/30/16	2016	6	23	147
6014	5/31/16	2016	6	23	107
6014	6/1/16	2016	6	23	124
6014	6/2/16	2016	6	23	148
6014	6/3/16	2016	6	23	252
6014	6/4/16	2016	6	23	195
6014	6/5/16	2016	6	23	175
6014	6/6/16	2016	6	24	132
6014	6/7/16	2016	6	24	96
6014	6/8/16	2016	6	24	135
6014	6/9/16	2016	6	24	150
6014	6/10/16	2016	6	24	231
6014	6/11/16	2016	6	24	188
6014	6/12/16	2016	6	24	162
6014	6/13/16	2016	7	25	122
6014	6/14/16	2016	7	25	114
6014	6/15/16	2016	7	25	134
6014	6/16/16	2016	7	25	167
6014	6/17/16	2016	7	25	212
6014	6/18/16	2016	7	25	177
6014	6/19/16	2016	7	25	137
6014	6/20/16	2016	7	26	111
6014	6/21/16	2016	7	26	130
6014	6/22/16	2016	7	26	126
6014	6/23/16	2016	7	26	155
6014	6/24/16	2016	7	26	248
6014	6/25/16	2016	7	26	205
6014	6/26/16	2016	7	26	171
6014	6/27/16	2016	7	27	129
6014	6/28/16	2016	7	27	132
6014	6/29/16	2016	7	27	166
6014	6/30/16	2016	7	27	174
6014	7/1/16	2016	7	27	245
6014	7/2/16	2016	7	27	156
6014	7/3/16	2016	7	27	137
6014	7/4/16	2016	7	28	86
6014	7/5/16	2016	7	28	131
6014	7/6/16	2016	7	28	121
6014	7/7/16	2016	7	28	160
6014	7/8/16	2016	7	28	268
6014	7/9/16	2016	7	28	169
6014	7/10/16	2016	7	28	157
6014	7/11/16	2016	8	29	106
6014	7/12/16	2016	8	29	109
6014	7/13/16	2016	8	29	100
6014	7/14/16	2016	8	29	157
6014	7/15/16	2016	8	29	269
6014	7/16/16	2016	8	29	189
6014	7/17/16	2016	8	29	172
6014	7/18/16	2016	8	30	110
6014	7/19/16	2016	8	30	125
6014	7/20/16	2016	8	30	115
6014	7/21/16	2016	8	30	137
6014	7/22/16	2016	8	30	223
6014	7/23/16	2016	8	30	194
6014	7/24/16	2016	8	30	174
6014	7/25/16	2016	8	31	118
6014	7/26/16	2016	8	31	117
6014	7/27/16	2016	8	31	134
6014	7/28/16	2016	8	31	144
6014	7/29/16	2016	8	31	224
6014	7/30/16	2016	8	31	215
6014	7/31/16	2016	8	31	169
6014	8/1/16	2016	8	32	112
6014	8/2/16	2016	8	32	120
6014	8/3/16	2016	8	32	136
6014	8/4/16	2016	8	32	127
6014	8/5/16	2016	8	32	258
6014	8/6/16	2016	8	32	182
6014	8/7/16	2016	8	32	157
6014	8/8/16	2016	9	33	117
6014	8/9/16	2016	9	33	127
6014	8/10/16	2016	9	33	136
6014	8/11/16	2016	9	33	167
6014	8/12/16	2016	9	33	227
6014	8/13/16	2016	9	33	182
6014	8/14/16	2016	9	33	153
6014	8/15/16	2016	9	34	92
6014	8/16/16	2016	9	34	113
6014	8/17/16	2016	9	34	116
6014	8/18/16	2016	9	34	171
6014	8/19/16	2016	9	34	265
6014	8/20/16	2016	9	34	212
6014	8/21/16	2016	9	34	155
6014	8/22/16	2016	9	35	102
6014	8/23/16	2016	9	35	101
6014	8/24/16	2016	9	35	120
6014	8/25/16	2016	9	35	139
6014	8/26/16	2016	9	35	239
6014	8/27/16	2016	9	35	225
6014	8/28/16	2016	9	35	136
6014	8/29/16	2016	9	36	80
6014	8/30/16	2016	9	36	109
6014	8/31/16	2016	9	36	135
6014	9/1/16	2016	9	36	149
6014	9/2/16	2016	9	36	254
6014	9/3/16	2016	9	36	167
6014	9/4/16	2016	9	36	137
6014	9/5/16	2016	10	37	139
6014	9/6/16	2016	10	37	79
6014	9/7/16	2016	10	37	100
6014	9/8/16	2016	10	37	225
6014	9/9/16	2016	10	37	222
6014	9/10/16	2016	10	37	188
6014	9/11/16	2016	10	37	151
6014	9/12/16	2016	10	38	98
6014	9/13/16	2016	10	38	95
6014	9/14/16	2016	10	38	120
6014	9/15/16	2016	10	38	141
6014	9/16/16	2016	10	38	240
6014	9/17/16	2016	10	38	184
6014	9/18/16	2016	10	38	165
6014	9/19/16	2016	10	39	77
6014	9/20/16	2016	10	39	88
6014	9/21/16	2016	10	39	111
6014	9/22/16	2016	10	39	131
6014	9/23/16	2016	10	39	234
6014	9/24/16	2016	10	39	208
6014	9/25/16	2016	10	39	155
6014	9/26/16	2016	10	40	88
6014	9/27/16	2016	10	40	92
6014	9/28/16	2016	10	40	107
6014	9/29/16	2016	10	40	126
6014	9/30/16	2016	10	40	248
6014	10/1/16	2016	10	40	202
6014	10/2/16	2016	10	40	157
